,Quote,Author,Main Tag,Other Tags
2313,"“The Four Noble Truths are pragmatic rather than dogmatic. They suggest a course of action to be followed rather than a set of dogmas to be believed. The four truths are prescriptions for behavior rather than descriptions of reality. The Buddha compares himself to a doctor who offers a course of therapeutic treatment to heal one’s ills. To embark on such a therapy is not designed to bring one any closer to ‘the Truth’ but to enable one’s life to flourish here and now, hopefully leaving a legacy that will continue to have beneficial repercussions after one’s death. (154)”","― Stephen Batchelor, Confession of a Buddhist Atheist",truth,"[' buddha, buddhism, four-noble-truths, here-and-now, truth']"
2314,“Science is only a Latin word for knowledge”,"― Carl Sagan, The Varieties of Scientific Experience: A Personal View of the Search for God",truth,"[' growth, knowledge, latin, learn, science, truth']"
2315,“God is willing to walk the earth again incarnate in us.”,"― Eugenia Price, Early Will I Seek Thee",truth,"[' christianity, god-s-love, grace, spiritual-life, truth']"
2316,“Just because an idea is true doesn't mean it can be proved. And just because an idea can be proved doesn't mean it's true.”,― Jonah Lehrer,truth,"[' ideas, proof, scientific-method, truth']"
2317,"“Words are not just wind. Words have something to say. But if what they have to say is not fixed, then do they really say something? Or do they say nothing? People suppose that words are different from the peeps of baby birds, but is there any difference, or isn't there? What does the Way rely upon, that we have true and false? What do words rely upon, that we have right and wrong? How can the Way go away and not exist? How can words exist and not be acceptable? When the Way relies on little accomplishments and words reply on vain show, then we have rights and wrongs of the Confucians and the Mo-ists. What one calls right the other calls wrong; what one calls wrong the other calls right. But if we want to right their wrongs and wrong their rights, then the best to use is clarity.”","― Chuang Tzu, Chuang Tzu: Basic Writings",truth,"[' reality, truth, words']"
2318,"“If you learn from many wise men who disagree one another,",you will find that there are many wisdoms came out of truth.,truth,"[' define, find, truth, wisdom, yourself']"
2319,"“Bullshit takes no genius,",even fool senses its' foul.”,truth,"[' honesty, lie, truth']"
2320,“Only the winner and coward may survive.”,"― Toba Beta, Master of Stupidity",truth,"[' coward, life, survive, truth, winner']"
2321,"“You should be spreading the good word. You should be etching the good word onto the glass scanning beds of library photocopiers. You should be scraping the truth onto old auto parts and throwing them off bridges so that people digging in the mud in a million years will question the world, too. You should be carving eyeballs into tire treads and onto shoe soles so that your every trail speaks of thinking and faith and belief. You should be designing molecules that crystallize into poems of devotion. You should be making bar codes that print out truth, not lies. You shouldn't even throw away a piece of litter unless it has the truth stamped on it--a demand for people to reach a finer place!",,truth,"[' passion, truth, urgency']"
2322,"“Toutes les opinions ne se valent pas, et il ne faut pas confondre l'éloquence d'une parole avec la justesse d'une pensée.”","― Tzvetan Todorov, In Defence of the Enlightenment",truth,"[' content, form, mass-opinion, truth']"
2323,"“When an old truth ceases to be applicable, it does not become any truer by being stood on its head.”","― Hannah Arendt, On Revolution",truth,[' truth']
2324,“I don’t trust the answers or the people who give me the answers. I believe in dirt and bone and flowers and fresh pasta and salsa cruda and red wine. I don’t believe in white wine; I insist on color.”,― Charles Bowden,truth,"[' knowledge, truth']"
2325,"“(Ivan) Hold your tongue, or I'll kill you!","(The devil) You'll kill me? No, excuse me, I will speak. I came to treat myself to that pleasure. Oh, I love the dreams of my ardent young friends, quivering with eagerness for life! 'There are new men,' you decided last spring, when you were meaning to come here, 'they propose to destroy everything and begin with cannibalism. Stupid fellows! they didn't ask my advice! I maintain that nothing need be destroyed, that we only need to destroy the idea of God in man, that's how we have to set to work. It's that, that we must begin with. Oh, blind race of men who have no understanding! As soon as men have all of them denied God -- and I believe that period, analogous with geological periods, will come to pass -- the old conception of the universe will fall of itself without cannibalism, and, what's more, the old morality, and everything will begin anew. Men will unite to take from life all it can give, but only for joy and happiness in the present world. Man will be lifted up with a spirit of divine Titanic pride and the man-god will appear. From hour to hour extending his conquest of nature infinitely by his will and his science, man will feel such lofty joy from hour to hour in doing it that it will make up for all his old dreams of the joys of heaven. Everyone will know that he is mortal and will accept death proudly and serenely like a god. His pride will teach him that it's useless for him to repine at life's being a moment, and he will love his brother without need of reward. Love will be sufficient only for a moment of life, but the very consciousness of its momentariness will intensify its fire, which now is dissipated in dreams of eternal love beyond the grave'... and so on and so on in the same style. Charming!",truth,"[' god, moral-law, science, truth']"
2326,"“Every violation of truth is not only a sort of suicide in the liar, but is a stab at the health of human society.”","― Ralph Waldo Emerson, Essays: First and Second Series",truth,"[' human-society, lies, truth']"
2327,"“We stumble on, thinks Jaslyn, bring a little noise into the silence, find in others the ongoing of ourselves. It is almost enough.”","― Colum McCann, Let the Great World Spin",truth,"[' awesomesauce, humanity, truth']"
2328,"“So obscure are the greatest events, as some take for granted any hearsay, whatever its source, others turn truth into falsehood, and both errors find encouragement with posterity.”","― Tacitus, The Annals of Imperial Rome",truth,"[' facts, falsehoods, history, posterity, truth']"
2329,"“A very single fact could emerge into many versions of truth,",depends on the number of eyewitnesses and interpretations.”,truth,"[' eye-witness, fact, interpretation, many-versions, truth']"
2330,“The life of truth is cold.”,"― Ralph Waldo Emerson, Essays of Ralph Waldo Emerson",truth,"[' life, truth']"
2331,“The truth is in the heart;,out there is true darkness.”,truth,"[' darkness, heart, life, secret, true, truth']"
2332,“The best fiction is true.”,― Kinky Friedman,truth,"[' fiction, humor, on-fiction, truth']"
2333,“Knowing the Techniques of Survival........,"Our fears and anxieties will often drive us to build impenetrable walls that act like blinders deflecting others and preventing us from seeing who surrounds us. Getting focused to the things that matter are the Key to what has to be to COMPLETE our MISSION. ""I Had Every Excuse to Fail but I Chose None"" Speak Life!!!",truth,"[' despair, focus, goodness, inspirational, love, sadness, truth, victory']"
2334,“Blessed is he who believes in the illusion because thus he can find his great truth!”,"― Sorin Cerin, Wisdom Collection: The Book of Wisdom",truth,"[' truth, wisdom-inspirational']"
