,Quote,Author,Main Tag,Other Tags
306,"“Has it ever struck you that life is all memory, except for the one present moment that goes by you so quick you hardly catch it going?”","― Tennessee Williams, The Milk Train Doesn't Stop Here Anymore",time,"[' life, time']"
307,"“Time folds you in its arms and gives you one last kiss, and then it flattens you out and folds you up and tucks you away until it's time for you to become someone else's past time, and then time folds again.”","― Margaret Atwood, The Tent",time,"[' life, time']"
308,"“Usually time alters and affects everything, but when someone you love dies time cannot change that, no amount of time will ever change that, so time stops having any meaning.”","― Rosamund Lupton, Sister",time,"[' death, love, missing, time']"
309,“how does she know it's the right room?' wondered Descant.,"Oh, I don't know; mabye it's the magical red glow coming from the doorway, or perhaps it's the deafening howl of the temporal winds.' said Mervall.",time,"[' artemis, descant, fowl, mervall, paradox, time']"
310,"“First a warning, musical; then the hour, irrevocable. The leaden circles dissolved in the air.”","― Virginia Woolf, Mrs. Dalloway",time,"[' life, time']"
311,“Sometimes life is a constant battle against the nostalgia of a time that can never be real again.”,"― Jason Myers, The Mission",time,[' time']
312,"“Deserts possess a particular magic, since they have exhausted their own futures, and are thus free of time. Anything erected there, a city, a pyramid, a motel, stands outside time. It's no coincidence that religious leaders emerge from the desert. Modern shopping malls have much the same function. A future Rimbaud, Van Gogh or Adolf Hitler will emerge from their timeless wastes.”","― J.G. Ballard, The Atrocity Exhibition",time,"[' deserts, malls, time']"
313,"“And that’s when I realize that, at the end, we’d all wish for the same thing. Just a little more time.”","― Marie Lu, Wildcard",time,"[' death, end, human, life, people, time, warcross, wilcard, world']"
314,"“I sometimes have moments of such despair, such despair … Because in those moments I start to think that I will never be capable of beginning to live a real life; because I have already begun to think that I have lost all sense of proportion, all sense of the real and the actual; because, what is more, I have cursed myself; because my nights of fantasy are followed by hideous moments of sobering! And all the time one hears the human crowd swirling and thundering around one in the whirlwind of life, one hears, one sees how people live—that they live in reality, that for them life is not something forbidden, that their lives are not scattered for the winds like dreams or visions but are forever in the process of renewal, forever young, and that no two moments in them are ever the same; while how dreary and monotonous to the point of being vulgar is timorous fantasy, the slave of shadow, of the idea...”","― Fyodor Dostoyevsky, White Nights",time,"[' dream, fantasy, reality, shadow, time']"
315,"“You have made flowers grow where I cultivated dust and stones. Remember this, on this journey you insist on making. If you die, I will not survive you long.”","― Robert Jordon, Starscape Boxed Set B Mixed",time,"[' death, love, time, wheel']"
316,“The degree of slowness is directionally proportional to the intensity of memory. The degree of speed is directionally proportional to the intensity of forgetting.”,"― Milan Kundera, Slowness",time,"[' forgetting-slow, memory, speed, time']"
317,“Today will die tomorrow.”,― Algernon Charles Swinburne,time,"[' death, future, present, time, today, tomorrow']"
318,“There was a beautiful time...”,"― Sylvia Plath, The Bell Jar",time,"[' beautiful, beauty, bell-jar, time']"
319,"“I don't have time, energy, or interest in hating the haters; I'm too busy loving the lovers.”","― Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience",time,"[' energy, haters, hating, interest, lovers, loving, time']"
320,“I remember my childhood names for grasses and secret flowers. I remember where a toad may live and what time the birds awaken in the summer -- and what trees and seasons smelled like -- how people looked and walked and smelled even. The memory of odors is very rich.”,"― John Steinbeck, East of Eden",time,"[' childhood, landscape, memory, plants, time']"
321,“For after the Battle comes quiet.”,"― H.G. Wells, The Time Machine",time,[' time']
322,"“If [hand-drawn animation] is a dying craft, we can't do anything about it. Civilization moves on. Where are all the fresco painters now? Where are the landscape artists? What are they doing now? The world is changing. I have been very fortunate to be able to do the same job for 40 years. That's rare in any era.”",― Hayao Miyazaki,time,[' time']
323,"“If you act like you've only got fifteen minutes, it will take all day. Act like you've got all day, it will take fifteen minutes.”",― Monty Roberts,time,"[' act, day, horse, minutes, time']"
324,"“I don't need time, I need a deadline.”",― Duke Ellington,time,"[' deadline, inspirational, time']"
325,“Time is the enemy of identity”,― Michael Moorcock,time,"[' identity, time']"
326,"“And it's a disquieting thought that not even the past is done with, even that continues to change, as if in reality there is only one time, for everything, one time for every purpose under heaven. One single second, one single landscape, in which what happens activates and deactivates what has already happened in endless chain reactions, like the processes that take place in the brain, perhaps, where cells suddenly bloom and die away, all according to the way the winds of consciousness are blowing.”","― Karl Ove Knausgård, A Time for Everything",time,"[' change, consciousness, mind, moment, reality, time']"
327,"“From all that I saw, and everywhere I wandered, I learned that time cannot be spent. It can only be squandered.”",― Roman Payne,time,"[' experience, payne, time']"
328,“Lo esperado no sucede. Es lo inesperado lo que acontece.”,― Ernesto Sábato,time,"[' events, life, time']"
329,"“From space, astronauts can see people making love as a tiny speck of light. Not light, exactly, but a glow that could be confused for light - a coital radiance that takes generations to pour like honey through the darkness to the astronaut's eyes.",,time,"[' love, time']"
330,“For the Present is the point at which time touches eternity.”,"― C.S. Lewis, The Screwtape Letters",time,"[' eternity, present, time']"
331,“I can do this… I can start over. I can save my own life and I’m never going to be alone as long as I have stars to wish on and people to still love.”,"― Jennifer Elisabeth, Born Ready: Unleash Your Inner Dream Girl",time,"[' anxiety, art, beach, born-ready, cape-cod, coming-of-age, constellations, depression, destiny, fate, friends, girls, growing, growing-up, healing, hope, inspiration, jennifer-elisabeth, learning, life, love, lovers, ocean, pray, prayer, red-thread, red-thread-of-destiny, red-thread-of-fate, self-acceptance, self-love, self-reflection, soul, soul-mates, stars, teenagers, teens, time, universe, wish']"
332,"“I didnt pay atteniton to times or distance, instead focusing on how it felt just to be in motion, knowing it wasn't about the finish line but how I got there that mattered.”","― Sarah Dessen, The Truth About Forever",time,"[' distance, focus, journeys, life, motion, time']"
333,"“Now, five years is nothing in a man's life except when he is very young and very old...",,time,"[' age, inspirational, time']"
334,"“Sometimes when I meet old friends, it reminds me how quickly time passes. And it makes me wonder if we've utilized our time properly or not. Proper utilization of time is so important. While we have this body, and especially this amazing human brain, I think every minute is something precious. Our day-to-day existence is very much alive with hope, although there is no guarantee of our future. There is no guarantee that tomorrow at this time we will be here. But we are working for that purely on the basis of hope. So, we need to make the best use of our time. I believe that the proper utilization of time is this: if you can, serve other people, other sentient beings. If not, at least refrain from harming them. I think that is the whole basis of my philosophy.",,time,"[' compassion, happiness, hope, positivity, time']"
335,"“But there is something about Time. The sun rises and sets. The stars swing slowly across the sky and fade. Clouds fill with rain and snow, empty themselves, and fill again. The moon is born, and dies, and is reborn. Around millions of clocks swing hour hands, and minute hands, and second hands. Around goes the continual circle of the notes of the scale. Around goes the circle of night and day, the circle of weeks forever revolving, and of months, and of years.”",― Madeleine L'Engle,time,[' time']
336,"“Nothing living should ever be treated with contempt. Whatever it is that lives, a man, a tree, or a bird, should be touched gently, because the time is short. Civilization is another word for respect for life...”","― Elizabeth Goudge, Green Dolphin Street",time,"[' bird, civilization, compassion, contempt, man, time, tree']"
337,“Time has a wonderful way to show us what really matters.”,― margaret peters,time,[' time']
338,“..time is always the price we pay for the unlived life.”,"― André Aciman, Find Me",time,"[' life, price, time, unlived']"
339,"“Fifty years,"" I hackneyed, ""is a long time.""","""Not when you're looking back at them,"" she said. ""You wonder how they vanished so quickly.”",time,[' time']
340,“Every moment is the paradox of now or never.”,"― Simon Van Booy, Love Begins in Winter: Five Stories",time,"[' life, moments, now-or-never, paradox, time']"
341,"“What an unreliable thing is time--when I want it to fly, the hours stick to me like glue. And what a changeable thing, too. Time is the twine to tie our lives into parcels of years and months. Or a rubber band stretched to suit our fancy. Time can be the pretty ribbon in a little girl's hair. Or the lines in your face, stealing your youthful colour and your hair. .... But in the end, time is a noose around the neck, strangling slowly.”","― Rohinton Mistry, A Fine Balance",time,[' time']
342,“Let this time in your life cut you open and drain all of the things that are holding you back. I’m going to help you forgive the things that you won’t let yourself forget.”,― Jennifer Elisabeth,time,"[' anxiety, art, beach, born-ready, cape-cod, coming-of-age, constellations, depression, destiny, fate, friends, girls, growing, growing-up, healing, hope, inspiration, jennifer-elisabeth, learning, life, love, lovers, ocean, pray, prayer, red-thread, red-thread-of-destiny, red-thread-of-fate, self-acceptance, self-love, self-reflection, soul, soul-mates, stars, teenagers, teens, time, universe, wish']"
343,"“Of all the things a man may do, sleep probably contributes most to keeping him sane. It puts brackets about each day. If you do something foolish or painful today, you get irritated if somebody mentions it, today. If it happened yesterday, though, you can nod or chuckle, as the case may be. You've crossed through nothingness or dream to another island in Time.”","― Roger Zelazny, Isle of the Dead",time,"[' dreams, inspirational, memory, rest, sanity, sleep, time']"
344,“Time and death sleep side by side.”,"― Garth Nix, Abhorsen",time,"[' death, time']"
345,"“My heart is burning a hole in my chest and every time you speak to me, it keeps sinking, and I'm left with nothing but ashes. I wish she were talking to me, because the more she speaks to me, the more my heart flutters like a rising phoenix.",-Karen Quan and Jarod Kintz”,time,"[' ashes, communication, desire, disappointment, excitement, flutter, heart, instaquote, love, phoenix, relationships, romance, romantic, sink, sinking, speak, speaking, talk, talking, time, word-junkies']"
346,“Americans will put up with anything provided it doesn't block traffic.”,― Dan Rather,time,"[' cars, commuting, complacency, driving, roads, speed, time, traffic']"
347,"“Silence can be breathing space and spawn release and wellness in a time of appalling inflation of words. But silence may be intolerably screaming, if it means absence of communication, deficiency in friendship and emotional deficit. (« A gap of silence”)”",― Erik Pevernagie,time,"[' absence, appalling, breathing-space, communication, deficiency, deficit, emotional, friendship, gap, inflation, intolerable, release, screaming, silence, spawn, time, wellness, words']"
348,“Time has no meaning in itself unless we choose to give it significance”,― Leo Buscaglia,time,[' time']
