,Quote,Author,Main Tag,Other Tags
505,"“So we forgive each other?"" The crooked smile climbs up one more time. ""Again?""","And I look right into his eyes, right into him as far as I can see, because I want him to hear me, I want him to hear me with everything I mean and feel and say.",romance,"[' forgiveness, life, romance']"
506,"“And they were quiet but their blood and nerves and butterflies were not—they were rampantly alive, rushing and thrumming in a wild and perfect melody, matched note for note.”","― Laini Taylor, Daughter of Smoke & Bone",romance,"[' akiva, karou, romance']"
507,"“An emotion clamped down on her heart. It squeezed her into a terrible silence. But he said nothing after that, only her name, as if her name were not a name but a question. Or perhaps that it wasn’t how he had said it, and she was wrong, and she’d heard a question simply because the sound of him speaking her name made her wish that she were his answer.”","― Marie Rutkoski, The Winner's Crime",romance,"[' books, kestrel, quotes, romance, the-winner-s-crime']"
508,"“One glance and I knew exactly who and what he was. The classic alpha male, the kind who had spurred evolution forward about five million years ago by nailing every female in sight. They charmed, seduced, and behaved like bastards, and yet women were biologically incapable of resisting their magic DNA.”","― Lisa Kleypas, Smooth Talking Stranger",romance,"[' humor, romance']"
509,"“I could still feel the ghost of him hovering in the quiet, dark recess of my heart. It was as if he was just waiting for me to be lonely, or to let my guard down, so that he could surface and fill my mind again with thoughts of him.”",― Colleen Houck,romance,"[' love, romance']"
510,"“Do you know how many ways love can hit you? So it makes you happy, or miserable? It makes you sick in the belly or hurt in the heart. It makes everything brighter and sharper, or it blurs all the edges. It makes you feel like a king or a fool. Every way love can hit you, it's hit me when it comes to you”","― Nora Roberts, Black Hills",romance,"[' love, romance']"
511,"“A dragon just gave me a piece of jewelry,” she said. She took another swig and handed the bottle back to Graydon. “Have I been added to his hoard?”",,romance,"[' graydon, pia, romance']"
512,“...he had a way of taking your hand which made it clear he'd have to be the one to let go.”,"― Alice Hoffman, Local Girls",romance,"[' boyfriend, dating, female, fiction, love, relationship, romance, teen']"
513,"“I am running after you, and life, in desperate pursuit. My dream is that someday you will both turn and let me catch you. That dream carries me through every night... I have enclosed a hundred kisses in this letter. You must count them out carefully and not lose any.”","― Lisa Kleypas, Seduce Me at Sunrise",romance,"[' letter, longing, love, romance']"
514,“You keep runnin that mouth and I'm goin to take you back there and screw you.”,"― Cormac McCarthy, No Country for Old Men",romance,"[' romance, sex']"
515,“Growing up and seeing your parents' flaws is like losing your religion. I don't believe in God anymore. I don't believe in my father either.”,"― Nicola Yoon, The Sun Is Also a Star",romance,"[' romance, we-need-diverse-books, young-adult']"
516,"“Giving generously in romantic relationships, and in all other bonds, means recognizing when the other person needs our attention. Attention is an important resource.”","― Bell Hooks, All About Love: New Visions",romance,"[' attention, bond, giving, recognition, relationship, resource, romance']"
517,"“It slowly began to dawn on me that I had been staring at her for an impossible amount of time. Lost in my thoughts, lost in the sight of her. But her face didn't look offended or amused. It almost looked as if she were studying the lines of my face, almost as if she were waiting.",I wanted to take her hand. I wanted to brush her cheek with my fingertips. I wanted to tell her that she was the first beautiful thing that I had seen in three years. The sight of her yawning to the back of her hand was enough to drive the breath from me. How I sometimes lost the sense of her words in the sweet fluting of her voice. I wanted to say that if she were with me then somehow nothing could ever be wrong for me again.,romance,"[' beauty, depth, description, love-interest, romance, sadness']"
518,“Any time not spent on love is wasted.”,― Torquato Tasso,romance,"[' love, romance, time']"
519,“Was it the infinite sadness of her eyes that drew him or the mirror of himself that he found in the gorgeous clarity of her mind?”,"― F. Scott Fitzgerald, This Side of Paradise",romance,"[' love, romance, sadness']"
520,"“Do you remember the first time we made love?"" He touched his lips to hers as he said it. ""We rode up in the elevator like this and couldn't keep our hands off each other, couldn't get to each other quick enough. I was mad for you. I wanted you more than I wanted to keep breathing. I still do."" He deepened the kiss as the elevator doors opened. ""It's never going to change.”","― J.D. Robb, Big Jack",romance,"[' eve-dallas, in-death, love, roarke, romance']"
