,Quote,Author,Main Tag,Other Tags
761,“Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,― Roy Bennett,inspiration,"[' authentic-living, being-positive, brave, bravery, courage, dreams, inspiration, inspirational, inspirational-quotes, life, life-quotes, live-your-dreams, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, purpose, vision']"
762,"“If everyone could be a successful and rich author, there would be no point in working so hard. Where is the fun in that?”",― L.A. Jones,inspiration,"[' inspirational-quotes, perseverance, writing-life']"
763,“we are not leaving anyone behind we have to stick togheter in order to stay safe.”,"― Frewin Jones, The Lost Queen",inspiration,"[' etc, haters, inspirational-love, inspirational-quotes, love, lovers']"
764,“~ Faith lightens the path your shadowed mind has to walk ~”,"― Michelle Horst, Visions and Shadows",inspiration,"[' encouraging, faith, hope, hopeful, inspirational, inspirational-quotes, inspirational-wisdom']"
765,"“Faith keeps our ships moving, while empathy and the memories of our experiences lead to wisdom.”","― Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem",inspiration,"[' destiny, direction, direction-of-your-destiny, empathy, faith, faith-quotes, fate, inspirational-quotes, journey-quotes, life, life-quotes, manifest, memories, memory, motivation, purpose, purpose-quotes, suzy-kassem, truth, truth-of-life, understanding, wisdom, wise']"
766,"“Flowers that are offered for the dead, do not know the difference of where their beauty will be placed, they do not say, ""This is not a palace"" or ""This is not a garden""; they just are. They are just beautiful, without giving regards to whether they are placed on a grave or in a castle. Flowers are just beautiful, whether they grow by the wayside or in a manicured garden. If we were all like flowers, then we would all be beautiful, with no regards to why or how. We just are. We are just beautiful.”",― C. JoyBell C.,inspiration,"[' beautiful, beauty, beauty-quotes, being-beautiful, death, flowers, flowers-quotes, genuine-beauty, inspirational-life, inspirational-quotes, life-lessons, life-quotes, quotes-about-beauty, quotes-about-death, real-beauty, true-beauty, wisdom-quotes']"
767,"“Where are they written?""","""In the world around us. Merely be attentive to what happens in your life, and you will discover where, every moment of the day, He hides His words and His will. Seek to do as He asks: this alone is the reason you are in the world.""",inspiration,[' inspirational-quotes']
768,“Write the book you want to read”,― Austin Kleon,inspiration,[' inspirational-quotes']
769,"“The more you feed your mind with positive thoughts, the more you can attract great things into your life.”",― Roy Bennett,inspiration,"[' being-positive, inspiration, inspirational, inspirational-quotes, life, life-quotes, mind, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, thought, thoughts, thoughts-of-the-mind, thoughts-on-life']"
770,"“Never stop acquiring the commonsense, it is as good as the knowledge.”",― Amit Kalantri,inspiration,"[' acquire, acquiring, alike, amit-kalantri, amit-kalantri-quotes, as-good-as, clever, common-knowledge, common-sense, common-sense-quotes, commonsense, comparable, compare, comparison, distinguish, general-sense, genius, geniuses, human, humans, indifferentiable, indistinguishable, inspiration, inspirational, inspirational-quotes, knowledge, knowledge-quotes, knowledgeable, motivation, motivational, motivational-quotes, never, never-quotes, philosophy, same, similar, stop, stopping, wisdom, wisdom-quotes']"
771,"“Remember diamonds are created under pressure so hold on, it will be your time to shine soon.”",― Sope Agbelusi,inspiration,"[' diamond, diamonds-in-the-rough, hope, hope-quotes, hopeful-and-encouraging, inspiration, inspirational, inspirational-quotes, knowledge, life, life-lessons, motivational, motivational-inspirational, motivational-quotes, patience-and-timing, patience-quotes, pressure, quotes, quotes-about-life, quotes-to-live-by, shine, shine-your-light, shine-your-light-quotes, success, truth']"
772,“I am the best person in the universe.”,― Kendrick Nguyen,inspiration,[' inspirational-quotes']
773,"“God used my year of waiting not to frustrate me, or abandon me, but to draw me into a closer relationship with Him.”","― Suzanne Elizabeth Anderson, Waiting with God",inspiration,[' inspirational-quotes']
774,"“A seed neither fears light nor darkness, but uses both to grow.”",― Matshona Dhliwayo,inspiration,"[' darkness-quotations, darkness-quotes, grow-quotes, growth-quotes, inspirational-quotes, inspiring-quotes, matshona-dhliwayo-quotes, seed-quotations, seed-quotes']"
775,"“When God throws something your way, catch it!”",― Chriscinthia Blount,inspiration,"[' god-s-will, inspirational-quotes, spirituality']"
776,"“when you have no spirit to seize the day, find it behind the music, between the flowing leaves, beneath the sun rays, and just within yourself. Talk to yourself, be the best friend for yourself, and do not hesitate to ask God help”",― Maria Magdalena,inspiration,[' inspirational-quotes']
777,"“Apa yang tersimpan dalam dada, tak mampu dijangkau oleh mata. Karenanya lisan menjadi penanda, wajar orang menilai lewat kata.”",― Felix Y. Siauw,inspiration,[' inspirational-quotes']
